treeID,Hmean,Hsd,Hmedian,Hmax,Hskew,Hkurt,Hentropy,H01TH,H02TH,H03TH,H04TH,H05TH,H06TH,H07TH,H08TH,H09TH,H10TH,H11TH,H12TH,H13TH,H14TH,H15TH,H16TH,H17TH,H18TH,H19TH,H20TH,H21TH,H22TH,H23TH,H24TH,H25TH,H26TH,H27TH,H28TH,H29TH,H30TH,H31TH,H32TH,H33TH,H34TH,H35TH,H36TH,H37TH,H38TH,H39TH,H40TH,H41TH,H42TH,H43TH,H44TH,H45TH,H46TH,H47TH,H48TH,H49TH,H50TH,H51TH,H52TH,H53TH,H54TH,H55TH,H56TH,H57TH,H58TH,H59TH,H60TH,H61TH,H62TH,H63TH,H64TH,H65TH,H66TH,H67TH,H68TH,H69TH,H70TH,H71TH,H72TH,H73TH,H74TH,H75TH,H76TH,H77TH,H78TH,H79TH,H80TH,H81TH,H82TH,H83TH,H84TH,H85TH,H86TH,H87TH,H88TH,H89TH,H90TH,H91TH,H92TH,H93TH,H94TH,H95TH,H96TH,H97TH,H98TH,H99TH,Imean,Isd,Imax,Iskew,Ikurt,I01TH,I02TH,I03TH,I04TH,I05TH,I06TH,I07TH,I08TH,I09TH,I10TH,I11TH,I12TH,I13TH,I14TH,I15TH,I16TH,I17TH,I18TH,I19TH,I20TH,I21TH,I22TH,I23TH,I24TH,I25TH,I26TH,I27TH,I28TH,I29TH,I30TH,I31TH,I32TH,I33TH,I34TH,I35TH,I36TH,I37TH,I38TH,I39TH,I40TH,I41TH,I42TH,I43TH,I44TH,I45TH,I46TH,I47TH,I48TH,I49TH,I50TH,I51TH,I52TH,I53TH,I54TH,I55TH,I56TH,I57TH,I58TH,I59TH,I60TH,I61TH,I62TH,I63TH,I64TH,I65TH,I66TH,I67TH,I68TH,I69TH,I70TH,I71TH,I72TH,I73TH,I74TH,I75TH,I76TH,I77TH,I78TH,I79TH,I80TH,I81TH,I82TH,I83TH,I84TH,I85TH,I86TH,I87TH,I88TH,I89TH,I90TH,I91TH,I92TH,I93TH,I94TH,I95TH,I96TH,I97TH,I98TH,I99TH,X,Y,Z,Biomass_ob
1,2.274406026,1.980830084,2.775,5.524,0.014379579,-1.657689988,0.843129905,0,0,0.006,0.01,0.014,0.018,0.022,0.025,0.028,0.031,0.034,0.037,0.04,0.043,0.045,0.048,0.051,0.054,0.057,0.06,0.063,0.066,0.069,0.072,0.076,0.08,0.083,0.088,0.092,0.098,0.104,0.11,0.117,0.125,0.136,0.14988,0.167,0.191,0.22912,0.308,0.79728,1.354,1.685,2.004,2.3016,2.45,2.53876,2.62,2.704,2.775,2.835,2.89116,2.954,3.01,3.0614,3.12,3.183,3.235,3.299,3.35,3.391,3.434,3.481,3.519,3.568,3.609,3.667,3.723,3.806,3.896,3.963,4.019,4.07,4.107,4.142,4.182,4.222,4.269,4.31832,4.368,4.414,4.45556,4.492,4.527,4.56,4.593,4.634,4.67,4.707,4.747,4.801,4.885,4.96644,5.049,5.117,5.184,5.25,5.32684,5.40392,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586692.125,9603255,5.524,208.58
2,1.993877306,1.505537086,2.254,5.058,-0.05902703,-1.319398576,0.84422098,0,0.004,0.011,0.016,0.02,0.024,0.029,0.033,0.036,0.039,0.043,0.046,0.05,0.05372,0.057,0.06,0.064,0.068,0.072,0.077,0.082,0.087,0.092,0.09752,0.106,0.11448,0.125,0.139,0.157,0.196,0.381,0.946,1.171,1.326,1.433,1.512,1.618,1.685,1.736,1.784,1.819,1.857,1.894,1.936,1.9826,2.052,2.118,2.181,2.221,2.254,2.29148,2.324,2.359,2.39392,2.4214,2.451,2.483,2.51184,2.54,2.577,2.612,2.674,2.752,2.819,2.856,2.89,2.923,2.958,2.99212,3.028,3.064,3.099,3.134,3.174,3.212,3.262,3.3,3.342,3.40692,3.507,3.558,3.592,3.62484,3.655,3.687,3.715,3.74,3.771,3.802,3.838,3.884,3.95216,4.11692,4.22,4.283,4.34308,4.41056,4.60004,4.81552,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586690.125,9603248,5.058,135.25
3,1.810160821,1.663597395,1.653,4.854,0.173309106,-1.649534909,0.88511641,0,0,0.004,0.008,0.012,0.015,0.018,0.021,0.024,0.027,0.03,0.032,0.035,0.038,0.04,0.043,0.045,0.048,0.051,0.053,0.056,0.059,0.062,0.065,0.069,0.072,0.076,0.08,0.084,0.089,0.095,0.102,0.11,0.12,0.132,0.144,0.16,0.18,0.209,0.25,0.3341,0.5524,0.7903,1.0358,1.146,1.231,1.3464,1.468,1.578,1.653,1.758,1.9382,2.0463,2.154,2.254,2.381,2.495,2.558,2.6089,2.647,2.682,2.7282,2.7733,2.821,2.889,2.957,3.0287,3.108,3.1789,3.244,3.3101,3.372,3.43,3.484,3.529,3.5756,3.63,3.693,3.7429,3.782,3.81,3.836,3.854,3.876,3.9035,3.926,3.949,3.968,3.991,4.013,4.034,4.06,4.0883,4.133,4.185,4.232,4.287,4.388,4.4709,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586685.938,9603263,4.854,118.57
4,2.30796708,1.72593625,2.779,4.628,-0.304608307,-1.604980554,0.897476823,0,0.003,0.011,0.016,0.02,0.025,0.029,0.033,0.036,0.04,0.044,0.047,0.052,0.056,0.059,0.062,0.067,0.071,0.075,0.078,0.083,0.088,0.093,0.098,0.1025,0.109,0.116,0.126,0.137,0.153,0.17,0.195,0.27004,0.72576,1.428,1.8422,1.95978,2.035,2.15132,2.28,2.348,2.393,2.42342,2.46236,2.508,2.55624,2.593,2.632,2.69006,2.779,2.848,2.892,2.95682,3.03576,3.1184,3.198,3.27658,3.35352,3.438,3.475,3.50834,3.54528,3.57922,3.609,3.6441,3.676,3.71,3.733,3.754,3.775,3.798,3.824,3.848,3.875,3.909,3.943,3.981,4.011,4.042,4.065,4.08714,4.114,4.137,4.156,4.175,4.19,4.206,4.222,4.234,4.247,4.25954,4.274,4.29,4.304,4.321,4.342,4.362,4.393,4.435,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586694.5,9603242,4.628,107.61
5,1.055031921,1.391551262,0.15,4.593,0.975363596,-0.833304171,0.568627058,0,0,0.003,0.008,0.012,0.016,0.019,0.022,0.024,0.0275,0.03,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.049,0.051,0.054,0.056,0.058,0.061,0.063,0.066,0.068,0.071,0.073,0.075,0.078,0.08,0.083,0.086,0.089,0.091,0.094,0.096,0.1,0.103,0.106,0.11,0.114,0.117,0.122,0.127,0.132,0.138,0.143,0.15,0.158,0.167,0.181,0.202,0.225,0.26,0.289,0.3223,0.35815,0.41,0.47985,0.53,0.574,0.6148,0.66025,0.724,0.839,0.9624,1.05165,1.155,1.4787,1.716,1.95805,2.2601,2.53375,2.7546,2.848,2.917,2.961,3.02,3.078,3.1307,3.1711,3.2614,3.314,3.3501,3.38395,3.416,3.43865,3.458,3.476,3.4932,3.51105,3.541,3.588,3.6632,3.717,3.754,3.80445,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586696.375,9603246,4.593,17.59
6,1.377634713,1.658555215,0.118,4.485,0.543385849,-1.585715593,0.619029432,0,0,0.004,0.008,0.011,0.013,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.037,0.039,0.041,0.043,0.045,0.047,0.049,0.05,0.052,0.054,0.055,0.057,0.059,0.061,0.063,0.065,0.068,0.07,0.072,0.07472,0.077,0.079,0.082,0.085,0.087,0.091,0.094,0.0972,0.10176,0.105,0.109,0.113,0.118,0.123,0.128,0.134,0.14124,0.149,0.158,0.173,0.19,0.20804,0.2536,0.70492,2.22948,2.64528,2.79068,2.868,2.93,2.99704,3.03608,3.089,3.1412,3.19176,3.23396,3.281,3.309,3.334,3.353,3.37,3.386,3.4,3.42,3.434,3.448,3.465,3.481,3.496,3.517,3.537,3.558,3.587,3.6174,3.651,3.722,3.8054,3.92464,4.0164,4.096,4.18864,4.24876,4.32244,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586693.875,9603244,4.485,153.73
7,3.072988014,0.81403496,3.162,4.434,-2.154095825,5.940677375,0.653489459,0.017,0.033,0.053,0.098,1.6701,1.83842,2.17393,2.28956,2.386,2.4624,2.531,2.574,2.618,2.65298,2.68155,2.70612,2.72969,2.752,2.77,2.787,2.798,2.812,2.821,2.837,2.851,2.865,2.877,2.888,2.90153,2.912,2.924,2.936,2.946,2.95838,2.972,2.986,2.999,3.01,3.022,3.0378,3.04737,3.06,3.07351,3.087,3.101,3.114,3.126,3.138,3.15,3.162,3.18,3.19464,3.211,3.227,3.243,3.255,3.269,3.28106,3.296,3.316,3.337,3.356,3.377,3.398,3.42,3.437,3.45519,3.468,3.483,3.498,3.512,3.523,3.535,3.549,3.56475,3.582,3.598,3.611,3.623,3.635,3.647,3.657,3.67231,3.686,3.701,3.714,3.729,3.748,3.762,3.786,3.80487,3.832,3.876,3.93374,4.0343,4.10272,4.15829,4.2193,4.29586,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586687.188,9603250,4.434,25.44
8,2.302431825,1.461263898,2.927,4.426,-0.511475923,-1.313780112,0.856543683,0,0.001,0.008,0.014,0.019,0.025,0.03,0.035,0.04,0.044,0.049,0.054,0.058,0.064,0.069,0.076,0.084,0.093,0.105,0.12,0.143,0.21604,0.52762,0.748,0.8405,0.97132,1.13946,1.27648,1.36742,1.4378,1.49,1.545,1.605,1.671,1.722,1.78476,1.854,1.958,2.101,2.1874,2.28906,2.52472,2.66238,2.739,2.7897,2.835,2.865,2.888,2.907,2.927,2.951,2.972,2.993,3.012,3.032,3.048,3.06362,3.087,3.115,3.156,3.21826,3.27392,3.323,3.36,3.3859,3.405,3.421,3.44488,3.465,3.486,3.5,3.52,3.534,3.55,3.565,3.576,3.59,3.60648,3.619,3.634,3.651,3.668,3.688,3.701,3.722,3.74,3.756,3.773,3.792,3.82,3.85006,3.871,3.895,3.93,3.9577,3.99136,4.039,4.108,4.216,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586682.438,9603260,4.426,27.81
9,1.689486271,1.474968617,1.981,4.398,0.075031427,-1.602601505,0.842887906,0,0,0.006,0.01,0.014,0.019,0.023,0.027,0.03,0.033,0.036,0.039,0.042,0.045,0.048,0.051,0.054,0.057,0.06,0.062,0.065,0.068,0.072,0.075,0.079,0.08258,0.087,0.091,0.09557,0.1,0.105,0.111,0.118,0.127,0.137,0.148,0.166,0.183,0.211,0.276,0.55706,0.903,1.193,1.39852,1.5,1.60718,1.735,1.833,1.917,1.981,2.02683,2.082,2.126,2.178,2.22,2.264,2.311,2.35428,2.402,2.459,2.53813,2.60592,2.667,2.71,2.744,2.77,2.796,2.819,2.839,2.86,2.882,2.902,2.921,2.944,2.968,2.991,3.017,3.04674,3.08507,3.1444,3.21673,3.318,3.38339,3.435,3.466,3.50038,3.53671,3.565,3.593,3.618,3.644,3.67,3.69669,3.733,3.793,3.93968,4.04801,4.127,4.19,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586672.438,9603258,4.398,52.79
10,1.932037043,1.639912135,2.568,4.348,-0.077357179,-1.726565548,0.835071563,0,0,0.005,0.01,0.014,0.018,0.022,0.025,0.029,0.033,0.037,0.04,0.044,0.047,0.051,0.054,0.058,0.062,0.065,0.069,0.072,0.076,0.079,0.083,0.086,0.09,0.094,0.097,0.101,0.106,0.11,0.115,0.121,0.127,0.135,0.144,0.155,0.169,0.19403,0.244,0.51985,1.52006,1.72911,1.95676,2.14595,2.262,2.341,2.421,2.51,2.568,2.606,2.638,2.66181,2.683,2.70435,2.72912,2.75,2.769,2.789,2.805,2.827,2.85874,2.898,2.945,2.988,3.035,3.1,3.194,3.284,3.333,3.38267,3.424,3.457,3.49198,3.537,3.578,3.609,3.638,3.659,3.681,3.705,3.733,3.752,3.777,3.803,3.827,3.85,3.88776,3.912,3.942,3.97107,4.004,4.036,4.073,4.10415,4.13,4.156,4.178,4.22,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586675.438,9603261,4.348,58.6
